sample_id,read1,read2,gpu_profile
alert_L01,/jic/archive/projects/watseq/My_Book_Duo/Alert_FP200000081BL_L01_503.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Alert_FP200000081BL_L01_503.R2.fastq.gz,1gpu
alert_L01,/jic/archive/projects/watseq/My_Book_Duo/Alert_FP200000081BL_L01_504.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Alert_FP200000081BL_L01_504.R2.fastq.gz,1gpu
almus_L01,/jic/archive/projects/watseq/My_Book_Duo/Almus_DP8400011374TR_L01_517.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Almus_DP8400011374TR_L01_517.R2.fastq.gz,1gpu
almus_L01,/jic/archive/projects/watseq/My_Book_Duo/Almus_DP8400011374TR_L01_518.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Almus_DP8400011374TR_L01_518.R2.fastq.gz,1gpu
almus_L01,/jic/archive/projects/watseq/My_Book_Duo/Almus_DP8400011375TR_L01_517.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Almus_DP8400011375TR_L01_517.R2.fastq.gz,1gpu
almus_L01,/jic/archive/projects/watseq/My_Book_Duo/Almus_DP8400011375TR_L01_518.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Almus_DP8400011375TR_L01_518.R2.fastq.gz,1gpu
altria_L01,/jic/archive/projects/watseq/My_Book_Duo/Altria_DP8400011692TL_L01_541.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Altria_DP8400011692TL_L01_541.R2.fastq.gz,1gpu
altria_L01,/jic/archive/projects/watseq/My_Book_Duo/Altria_DP8400011692TL_L01_542.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Altria_DP8400011692TL_L01_542.R2.fastq.gz,1gpu
altria_L01,/jic/archive/projects/watseq/My_Book_Duo/Altria_FP200000081BL_L01_541.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Altria_FP200000081BL_L01_541.R2.fastq.gz,1gpu
altria_L01,/jic/archive/projects/watseq/My_Book_Duo/Altria_FP200000081BL_L01_542.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Altria_FP200000081BL_L01_542.R2.fastq.gz,1gpu
arminda_L4,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Arminda_9D38840RP3F337337PC_AH32TYDSXY_L4_337337.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Arminda_9D38840RP3F337337PC_AH32TYDSXY_L4_337337.R2.fastp.fastq.gz,1gpu
arminda_L3,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Arminda_9D38840RP3F337337PC_BH32JLDSXY_L3_337337.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Arminda_9D38840RP3F337337PC_BH32JLDSXY_L3_337337.R2.fastp.fastq.gz,1gpu
arminda_L2,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Arminda_9D38840RP3F378378PB_AH2WKGDSXY_L2_378378.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Arminda_9D38840RP3F378378PB_AH2WKGDSXY_L2_378378.R2.fastp.fastq.gz,1gpu
arminda_L1,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Arminda_9D38840RP3F378378PB_AH3232DSXY_L1_378378.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Arminda_9D38840RP3F378378PB_AH3232DSXY_L1_378378.R2.fastp.fastq.gz,1gpu
aronde_L4,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Aronde_9D38937RP3F327327PB_BH2WHTDSXY_L4_327327.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Aronde_9D38937RP3F327327PB_BH2WHTDSXY_L4_327327.R2.fastp.fastq.gz,1gpu
aronde_L3,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Aronde_9D38937RP3F327327PC_AH32CJDSXY_L3_327327.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Aronde_9D38937RP3F327327PC_AH32CJDSXY_L3_327327.R2.fastp.fastq.gz,1gpu
aronde_L1,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Aronde_9D38937RP3F327327PC_BH32CVDSXY_L1_327327.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Aronde_9D38937RP3F327327PC_BH32CVDSXY_L1_327327.R2.fastp.fastq.gz,1gpu
avalon_L2,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Avalon_9D38838RP3F336336PA_AH2WKGDSXY_L2_336336.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Avalon_9D38838RP3F336336PA_AH2WKGDSXY_L2_336336.R2.fastp.fastq.gz,1gpu
avalon_L3,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Avalon_9D38838RP3F336336PA_BH32JLDSXY_L3_336336.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Avalon_9D38838RP3F336336PA_BH32JLDSXY_L3_336336.R2.fastp.fastq.gz,1gpu
avalon_L1,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Avalon_9D38838RP3F377377PB_AH3232DSXY_L1_377377.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Avalon_9D38838RP3F377377PB_AH3232DSXY_L1_377377.R2.fastp.fastq.gz,1gpu
avalon_L4,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Avalon_9D38838RP3F377377PB_AH32TYDSXY_L4_377377.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Avalon_9D38838RP3F377377PB_AH32TYDSXY_L4_377377.R2.fastp.fastq.gz,1gpu
avocet_L01,/jic/archive/projects/watseq/My_Book_Duo/avocet_DP8400011692TL_L01_539.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/avocet_DP8400011692TL_L01_539.R2.fastq.gz,1gpu
avocet_L01,/jic/archive/projects/watseq/My_Book_Duo/avocet_DP8400011692TL_L01_540.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/avocet_DP8400011692TL_L01_540.R2.fastq.gz,1gpu
avocet_L01,/jic/archive/projects/watseq/My_Book_Duo/avocet_FP200000081BL_L01_539.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/avocet_FP200000081BL_L01_539.R2.fastq.gz,1gpu
avocet_L01,/jic/archive/projects/watseq/My_Book_Duo/avocet_FP200000081BL_L01_540.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/avocet_FP200000081BL_L01_540.R2.fastq.gz,1gpu
aztec_L01,/jic/archive/projects/watseq/My_Book_Duo/Aztec_FP100001131BL_L01_527.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Aztec_FP100001131BL_L01_527.R2.fastq.gz,1gpu
aztec_L01,/jic/archive/projects/watseq/My_Book_Duo/Aztec_FP100001131BL_L01_528.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Aztec_FP100001131BL_L01_528.R2.fastq.gz,1gpu
banco_L01,/jic/archive/projects/watseq/My_Book_Duo/Banco_DP8400011528TL_L01_559.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Banco_DP8400011528TL_L01_559.R2.fastq.gz,1gpu
banco_L01,/jic/archive/projects/watseq/My_Book_Duo/Banco_DP8400011528TL_L01_560.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Banco_DP8400011528TL_L01_560.R2.fastq.gz,1gpu
bandit_L01,/jic/archive/projects/watseq/My_Book_Duo/Bandit_DP8400011550BR_L01_583.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Bandit_DP8400011550BR_L01_583.R2.fastq.gz,1gpu
bandit_L01,/jic/archive/projects/watseq/My_Book_Duo/Bandit_DP8400011550BR_L01_584.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Bandit_DP8400011550BR_L01_584.R2.fastq.gz,1gpu
banner_L01,/jic/archive/projects/watseq/My_Book_Duo/Banner_DP8400011374TR_L01_521.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Banner_DP8400011374TR_L01_521.R2.fastq.gz,1gpu
banner_L01,/jic/archive/projects/watseq/My_Book_Duo/Banner_DP8400011374TR_L01_522.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Banner_DP8400011374TR_L01_522.R2.fastq.gz,1gpu
beauchamp_L01,/jic/archive/projects/watseq/My_Book_Duo/Beauchamp_DP8400011550BR_L01_533.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Beauchamp_DP8400011550BR_L01_533.R2.fastq.gz,1gpu
beauchamp_L01,/jic/archive/projects/watseq/My_Book_Duo/Beauchamp_DP8400011550BR_L01_534.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Beauchamp_DP8400011550BR_L01_534.R2.fastq.gz,1gpu
beaver_L1,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Beaver_9D38853RP3F335335PB_AH3232DSXY_L1_335335.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Beaver_9D38853RP3F335335PB_AH3232DSXY_L1_335335.R2.fastp.fastq.gz,1gpu
beaver_L4,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Beaver_9D38853RP3F335335PB_BH322JDSXY_L4_335335.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Beaver_9D38853RP3F335335PB_BH322JDSXY_L4_335335.R2.fastp.fastq.gz,1gpu
beaver_L3,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Beaver_9D38853RP3F335335PC_BH322JDSXY_L3_335335.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Beaver_9D38853RP3F335335PC_BH322JDSXY_L3_335335.R2.fastp.fastq.gz,1gpu
beaver_L3,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Beaver_9D38853RP3F335335PC_BH32JLDSXY_L3_335335.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Beaver_9D38853RP3F335335PC_BH32JLDSXY_L3_335335.R2.fastp.fastq.gz,1gpu
bounty_L2,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Bounty_9D38839RP3F324324PA_AH33CYDSXY_L2_324324.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Bounty_9D38839RP3F324324PA_AH33CYDSXY_L2_324324.R2.fastp.fastq.gz,1gpu
bounty_L4,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Bounty_9D38839RP3F366366PB_AH32TYDSXY_L4_366366.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Bounty_9D38839RP3F366366PB_AH32TYDSXY_L4_366366.R2.fastp.fastq.gz,1gpu
boxer_L01,/jic/archive/projects/watseq/My_Book_Duo/Boxer_DP8400011526TL_L01_555.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Boxer_DP8400011526TL_L01_555.R2.fastq.gz,1gpu
boxer_L01,/jic/archive/projects/watseq/My_Book_Duo/Boxer_DP8400011526TL_L01_556.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Boxer_DP8400011526TL_L01_556.R2.fastq.gz,1gpu
boxer_L01,/jic/archive/projects/watseq/My_Book_Duo/Boxer_DP8400011679BR_L01_555.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Boxer_DP8400011679BR_L01_555.R2.fastq.gz,1gpu
boxer_L01,/jic/archive/projects/watseq/My_Book_Duo/Boxer_DP8400011679BR_L01_556.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Boxer_DP8400011679BR_L01_556.R2.fastq.gz,1gpu
boxer_L01,/jic/archive/projects/watseq/My_Book_Duo/Boxer_FP200000081BL_L01_555.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Boxer_FP200000081BL_L01_555.R2.fastq.gz,1gpu
boxer_L01,/jic/archive/projects/watseq/My_Book_Duo/Boxer_FP200000081BL_L01_556.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Boxer_FP200000081BL_L01_556.R2.fastq.gz,1gpu
buster_L3,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Buster_9D38932RP3F322322PA_BH322JDSXY_L3_322322.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Buster_9D38932RP3F322322PA_BH322JDSXY_L3_322322.R2.fastp.fastq.gz,1gpu
buster_L1,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Buster_9D38932RP3F322322PB_BH32CVDSXY_L1_322322.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Buster_9D38932RP3F322322PB_BH32CVDSXY_L1_322322.R2.fastp.fastq.gz,1gpu
calif_L3,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Calif_9D38871RP3F342342PB_AH32CJDSXY_L3_342342.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Calif_9D38871RP3F342342PB_AH32CJDSXY_L3_342342.R2.fastp.fastq.gz,1gpu
calif_L2,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Calif_9D38871RP3F342342PB_BH32CVDSXY_L2_342342.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Calif_9D38871RP3F342342PB_BH32CVDSXY_L2_342342.R2.fastp.fastq.gz,1gpu
calif_L4,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Calif_9D38871RP3F342342PC_AH32CJDSXY_L4_342342.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Calif_9D38871RP3F342342PC_AH32CJDSXY_L4_342342.R2.fastp.fastq.gz,1gpu
calif_L3,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Calif_9D38871RP3F342342PC_BH32CVDSXY_L3_342342.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Calif_9D38871RP3F342342PC_BH32CVDSXY_L3_342342.R2.fastp.fastq.gz,1gpu
camp_remy_L4,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Camp-Remy_9D38854RP3F319319PA_BH322JDSXY_L4_319319.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Camp-Remy_9D38854RP3F319319PA_BH322JDSXY_L4_319319.R2.fastp.fastq.gz,1gpu
camp_remy_L1,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Camp-Remy_9D38854RP3F319319PB_AH33CYDSXY_L1_319319.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Camp-Remy_9D38854RP3F319319PB_AH33CYDSXY_L1_319319.R2.fastp.fastq.gz,1gpu
capitaine_L01,/jic/archive/projects/watseq/My_Book_Duo/Capitiane_DP8400011513TR_L01_569.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Capitiane_DP8400011513TR_L01_569.R2.fastq.gz,1gpu
capitaine_L01,/jic/archive/projects/watseq/My_Book_Duo/Capitiane_DP8400011513TR_L01_570.R1.fastq.gz,/jic/archive/projects/watseq/My_Book_Duo/Capitiane_DP8400011513TR_L01_570.R2.fastq.gz,1gpu
capo_L3,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Capo_9D38866RP3F312312PA_AH32CJDSXY_L3_312312.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Capo_9D38866RP3F312312PA_AH32CJDSXY_L3_312312.R2.fastp.fastq.gz,1gpu
capo_L1,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Capo_9D38866RP3F312312PA_AH33CYDSXY_L1_312312.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Capo_9D38866RP3F312312PA_AH33CYDSXY_L1_312312.R2.fastp.fastq.gz,1gpu
capo_L4,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Capo_9D38866RP3F312312PB_BH322JDSXY_L4_312312.R1.fastp.fastq.gz,/jic/archive/projects/watseq/ECS/pr-raw-watseq/WatSeq-modern_global_reads/data/modern_clean1/Capo_9D38866RP3F312312PB_BH322JDSXY_L4_312312.R2.fastp.fastq.gz,1gpu
